10pc tFEC,,ECDEC,,DEC,,PC,
"Overpotential,V","Current Density, mA/cm^2","Overpotential,V","Current Density, mA/cm^2","Overpotential,V","Current Density, mA/cm^2","Overpotential,V","Current Density, mA/cm^2"
-0.240555791,235.8028336,-0.24909014,171.9072202,-0.240040908,45.37981751,-0.242848074,36.2095835
-0.210276485,192.4481433,-0.231781634,150.1310729,-0.201093243,33.08322535,-0.202468613,27.00054616
-0.181428974,153.5587293,-0.21159543,131.1133937,-0.160706729,24.118647,-0.162075046,19.24481433
-0.151142615,122.5279857,-0.191402172,111.9488426,-0.120299055,16.43184292,-0.123113274,13.41068558
-0.120835097,91.36593726,-0.171208915,95.58553095,-0.081302017,10.22831093,-0.082670334,8.161400793
-0.090506418,63.66805293,-0.151008605,79.79226336,-0.040788546,4.966820116,-0.042135703,3.703628786
-0.060149527,40.53620963,-0.130808295,66.60846291,0.039843419,4.14616956,0.036979828,3.963138188
-0.029693892,18.8152418,-0.11203978,54.3618362,0.078445479,9.136593726,0.077056002,7.801118281
0.029320073,17.58320499,-0.09181831,42.40831142,0.120009874,15.35587293,0.117181549,13.11133937
0.059303146,37.03628786,-0.071589787,32.34475915,0.158717732,24.118647,0.157349415,19.24481433
0.089363803,60.85744643,-0.051318945,21.5443469,0.198857385,38.7467512,0.196085485,27.61699813
0.119459726,89.3265153,-0.031005784,12.53254336,0.237572295,59.49901881,0.23627451,37.88186679
0.149569756,125.3254336,-0.01048808,3.788186679,,,,
0.208400339,210.6344542,0.009641698,3.963138188,,,,
0.238545634,263.978543,0.029447031,11.71190257,,,,
,,0.049428692,19.68419447,,,,
,,0.069452673,28.89244623,,,,
,,0.088051911,40.53620963,,,,
,,0.108111158,53.14840015,,,,
,,0.128170405,69.68467115,,,,
,,0.148243758,87.33261624,,,,
,,0.168331217,104.6183444,,,,
,,0.188418677,125.3254336,,,,
,,0.208506136,150.1310729,,,,
,,0.227154747,179.8464877,,,,
,,0.24581041,210.6344542,,,,
